oper_num,lending_instrmnt_cd,sts_cd,apprvl_dt_sts,oper_typ_cd,orig_apprvd_useq_amnt,cntry_benfit,sector_cd,apprvl_dt_yr
RG-E2026,,ACTIVE,,ESW,0.0,RG,ST,
BO-L1080,INV,ACTIVE,COMPLETED,LON,62000000.0,BO,AS,2015.0
RG-Q0079,MIF,ACTIVE,COMPLETED,EQU,4000000.0,RG,AG,2021.0
ME-U0006,IIC,ACTIVE,COMPLETED,GUA,5000000.0,ME,EN,2015.0
BL-T1145,,ACTIVE,COMPLETED,TCP,300000.0,BL,PA,2022.0
RG-E1649,,ACTIVE,,ESW,0.0,RG,EN,
AR-T1289,,ACTIVE,COMPLETED,TCP,150000.0,AR,SA,2022.0
UR-O1157,,ACTIVE,COMPLETED,CON,100000000.0,UR,FM,2020.0
AR-O0007,,ACTIVE,COMPLETED,CON,450000000.0,AR,RM,2019.0
PR-T1356,,ACTIVE,COMPLETED,TCP,600000.0,PR,ST,2024.0
PE-T1568,,ACTIVE,COMPLETED,TCP,600000.0,PE,RM,2024.0
RG-E1885,,ACTIVE,,ESW,0.0,RG,FM,
GU-T1356,,ACTIVE,COMPLETED,TCP,400000.0,GU,EN,2024.0
ES-T1377,,ACTIVE,COMPLETED,TCP,200000.0,ES,IS,2024.0
TT-T1096,,ACTIVE,COMPLETED,TCP,230000.0,TT,RM,2019.0
BK-C2374,,ACTIVE,,CIP,0.0,BK,OT,
RG-T2784,,ACTIVE,COMPLETED,TCP,350000.0,RG,ST,2016.0
PR-L1070,INV,ACTIVE,COMPLETED,LON,10000000.0,PR,ST,2015.0
TT-T1122,,ACTIVE,COMPLETED,TCP,250000.0,TT,AS,2022.0
RG-T4469,,ACTIVE,COMPLETED,TCP,500000.0,RG,IS,2024.0
AR-X1006,,ACTIVE,COMPLETED,CON,600000000.0,AR,AG,2008.0
PN-L1171,INV,ACTIVE,COMPLETED,LON,60000000.0,PN,RM,2022.0
JA0048,,ACTIVE,COMPLETED,CON,3000000.0,JA,FM,1996.0
RG-T4403,,ACTIVE,COMPLETED,TCP,250000.0,RG,FM,2023.0
RG-O1718,,ACTIVE,COMPLETED,CON,400000.0,RG,PA,2024.0
NI-P1062,,ACTIVE,COMPLETED,CON,0.0,NI,,2012.0
RG-E1899,,ACTIVE,,ESW,0.0,RG,AS,
RG-Q0083,IIC,ACTIVE,COMPLETED,EQU,5000000.0,RG,DU,2021.0
UR-T1294,,ACTIVE,COMPLETED,TCP,470000.0,UR,ED,2023.0
HA-T1313,,ACTIVE,COMPLETED,TCP,400000.0,HA,SA,2023.0
BK-A1321,,ACTIVE,,ACT,0.0,BK,,
EC-L1295,INV,ACTIVE,COMPLETED,LON,150000000.0,EC,TR,2024.0
CO-L1260,IIC,ACTIVE,COMPLETED,LON,50000000.0,CO,TR,2019.0
